alias	gene_id	gene_symbol	gene_desc
NPY1R	399518	NPY1R	neuropeptide Y receptor Y1
ELSPBP1	399530	ELSPBP1	epididymal sperm binding protein 1
VWF	399544	VWF	von Willebrand factor
HCRTR2	399545	HCRTR2	hypocretin receptor 2
PDE6B	399653	PDE6B	phosphodiesterase 6B
NEWENTRY	403152	NEWENTRY	Record to support submission of GeneRIFs for a gene not in Gene (Canis canis; Canis domesticus; Canis familiaris; dog; dogs).
CD8A	403157	CD8A	CD8a molecule
AGER	403168	AGER	advanced glycosylation end-product specific receptor
ESRRA	403169	ESRRA	estrogen related receptor alpha
HMGB1	403170	HMGB1	high mobility group box 1
CTSS	403400	CTSS	cathepsin S
DSG1	403401	DSG1	desmoglein 1
NGF	403402	NGF	nerve growth factor
PLA2G15	403403	PLA2G15	phospholipase A2 group XV
TYR	403405	TYR	tyrosinase
EDN3	403406	EDN3	endothelin 3
APP	403407	APP	amyloid beta precursor protein
PSEN1	403408	PSEN1	presenilin 1
ADORA2B	403410	ADORA2B	adenosine A2b receptor
REG3A	403411	REG3A	regenerating islet-derived 3 alpha
TERT	403412	TERT	telomerase reverse transcriptase
DNASE1	403413	DNASE1	deoxyribonuclease 1
CRSP-2	403414	CRSP-2	calcitonin receptor-stimulating peptide-2
CALCB	403415	CALCB	calcitonin-related polypeptide beta
BCL2	403416	BCL2	BCL2 apoptosis regulator
TLR4	403417	TLR4	toll like receptor 4
GJA1	403418	GJA1	gap junction protein alpha 1
EPB41L5	403419	EPB41L5	erythrocyte membrane protein band 4.1 like 5
HEY1	403420	HEY1	hes related family bHLH transcription factor with YRPW motif 1
ZNF252	403421	ZNF252	zinc finger protein 252
RBM47	403423	RBM47	RNA binding motif protein 47
EDN1	403424	EDN1	endothelin 1
PLAU	403426	PLAU	plasminogen activator, urokinase
CDKN1B	403429	CDKN1B	cyclin dependent kinase inhibitor 1B
PTGER3	403430	PTGER3	prostaglandin E receptor 3
TGFA	403431	TGFA	transforming growth factor alpha
HGFAC	403432	HGFAC	HGF activator
MSTN	403433	MSTN	myostatin
AMN	403434	AMN	amnion associated transmembrane protein
ANXA2	403435	ANXA2	annexin A2
INSL3	403436	INSL3	insulin like 3
BRCA1	403437	BRCA1	BRCA1 DNA repair associated
MET	403438	MET	MET proto-oncogene, receptor tyrosine kinase
IL2RB	403439	IL2RB	interleukin 2 receptor subunit beta
HSPG2	403440	HSPG2	heparan sulfate proteoglycan 2
HGF	403441	HGF	hepatocyte growth factor
LOC403442	403442	LOC403442	death factor CD95
GLUL	403443	GLUL	glutamate-ammonia ligase
TH	403444	TH	tyrosine hydroxylase
MMP3	403445	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)
SLC10A2	403448	SLC10A2	solute carrier family 10 member 2
LIF	403449	LIF	LIF interleukin 6 family cytokine
MAOA	403450	MAOA	monoamine oxidase A
MAOB	403451	MAOB	monoamine oxidase B
SNAP91	403452	SNAP91	synaptosome associated protein 91
ABCC1	403453	ABCC1	ATP binding cassette subfamily C member 1
