alias	gene_id	gene_symbol	gene_desc
CRHR1	574095	CRHR1	corticotropin releasing hormone receptor 1
SOD1	574096	SOD1	superoxide dismutase 1
SOD2	574097	SOD2	superoxide dismutase 2
CCR2	574098	CCR2	C-C motif chemokine receptor 2
MLN	574099	MLN	motilin
IL16	574100	IL16	interleukin 16
GYPA	574101	GYPA	glycophorin A (MNS blood group)
PPIA	574102	PPIA	peptidylprolyl isomerase A
KCNMA1	574103	KCNMA1	potassium calcium-activated channel subfamily M alpha 1
DBH	574105	DBH	dopamine beta-hydroxylase
SERPINA3	574106	SERPINA3	serpin family A member 3
SFTPA1	574108	SFTPA1	surfactant protein A1
ESR2	574110	ESR2	estrogen receptor 2
CRISP1	574111	CRISP1	cysteine rich secretory protein 1
CTSK	574112	CTSK	cathepsin K
TUBB	574113	TUBB	tubulin beta class I
NPY	574114	NPY	neuropeptide Y
AIF1	574115	AIF1	allograft inflammatory factor 1
MGP	574116	MGP	matrix Gla protein
ABCB10	574117	ABCB10	ATP binding cassette subfamily B member 10
FTH1	574118	FTH1	ferritin heavy chain 1
SCN9A	574119	SCN9A	sodium voltage-gated channel alpha subunit 9
RHAG	574120	RHAG	Rh associated glycoprotein
RTD1C	574121	RTD1C	demidefensin 3
RTD1A	574122	RTD1A	demidefensin 2
RTD1B	574123	RTD1B	demidefensin 1
UCP1	574124	UCP1	uncoupling protein 1
UCP3	574125	UCP3	uncoupling protein 3
LEPR	574126	LEPR	leptin receptor
IL6ST	574127	IL6ST	interleukin 6 signal transducer
STAT3	574128	STAT3	signal transducer and activator of transcription 3
STAT5A	574129	STAT5A	signal transducer and activator of transcription 5A
TYK2	574130	TYK2	tyrosine kinase 2
COL3A1	574131	COL3A1	collagen type III alpha 1 chain
ELN	574132	ELN	elastin
FLT1	574133	FLT1	fms related receptor tyrosine kinase 1
VAMP2	574134	VAMP2	vesicle associated membrane protein 2
FGF2	574136	FGF2	fibroblast growth factor 2
PPIF	574137	PPIF	peptidylprolyl isomerase F
CCL2	574138	CCL2	C-C motif chemokine ligand 2
CD151	574139	CD151	CD151 molecule
SLC6A4	574140	SLC6A4	solute carrier family 6 member 4
OPRM1	574141	OPRM1	opioid receptor mu 1
CNR1	574142	CNR1	cannabinoid receptor 1
SLC6A3	574143	SLC6A3	solute carrier family 6 member 3
KLRD1	574145	KLRD1	killer cell lectin like receptor D1
KLRC1	574146	KLRC1	killer cell lectin like receptor C1
UGT2B33	574147	UGT2B33	UDP-Glucuronosyltransferase UGT2B33
LCN6	574148	LCN6	lipocalin 6
NPY2R	574149	NPY2R	neuropeptide Y receptor Y2
NPY5R	574150	NPY5R	neuropeptide Y receptor Y5
IL18	574151	IL18	interleukin 18
HCST	574152	HCST	hematopoietic cell signal transducer
BPI	574153	BPI	bactericidal permeability increasing protein
NR0B1	574154	NR0B1	nuclear receptor subfamily 0 group B member 1
SRY	574155	SRY	sex determining region Y
SH2D1A	574156	SH2D1A	SH2 domain containing 1A
SPA17	574157	SPA17	sperm autoantigenic protein 17
ICAM2	574158	ICAM2	intercellular adhesion molecule 2
FASLG	574159	FASLG	Fas ligand
CD40LG	574160	CD40LG	CD40 ligand
RBM12	574161	RBM12	RNA binding motif protein 12
SPINLW1	574162	SPINLW1	epididymal peptidase inhibitor
GNRHR2	574163	GNRHR2	gonadotropin-releasing hormone II receptor
HR	574164	HR	HR lysine demethylase and nuclear receptor corepressor
LHX3	574165	LHX3	LIM homeobox 3
LOC574167	574167	LOC574167	sc328
IL7	574168	IL7	interleukin 7
ABCC2	574169	ABCC2	ATP binding cassette subfamily C member 2
CNTNAP4	574170	CNTNAP4	contactin associated protein family member 4
NXPH4	574171	NXPH4	neurexophilin 4
CNTNAP2	574172	CNTNAP2	contactin associated protein 2
NXPH3	574173	NXPH3	neurexophilin 3
PTPRZ1	574174	PTPRZ1	protein tyrosine phosphatase receptor type Z1
NRXN2	574175	NRXN2	neurexin 2
GREM1	574176	GREM1	gremlin 1, DAN family BMP antagonist
CCL1	574177	CCL1	C-C motif chemokine ligand 1
CCL5	574178	CCL5	C-C motif chemokine ligand 5
CCL8	574179	CCL8	C-C motif chemokine ligand 8
CCL17	574180	CCL17	C-C motif chemokine ligand 17
CCL18	574181	CCL18	C-C motif chemokine ligand 18
CCL20	574182	CCL20	C-C motif chemokine ligand 20
CCL21	574183	CCL21	C-C motif chemokine ligand 21
CMAH	574186	CMAH	CMP-N-acetylneuraminic acid hydroxylase
DEFB1	574187	DEFB1	defensin beta 1
CCR1	574188	CCR1	C-C motif chemokine receptor 1
KCNJ2	574189	KCNJ2	potassium inwardly rectifying channel subfamily J member 2
PPARG	574190	PPARG	peroxisome proliferator activated receptor gamma
CHRNA5	574191	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit
DMBT1	574192	DMBT1	deleted in malignant brain tumors 1
SLC8A1	574193	SLC8A1	solute carrier family 8 member A1
TUBA1A	574194	TUBA1A	tubulin alpha 1a
CHRM4	574195	CHRM4	cholinergic receptor muscarinic 4
DEFA1B	574196	DEFA1B	defensin alpha 1B
MNP2	574197	MNP2	alpha-defensin 2
UCP2	574198	UCP2	uncoupling protein 2
IL12RB1	574199	IL12RB1	interleukin 12 receptor subunit beta 1
TNFRSF13B	574200	TNFRSF13B	TNF receptor superfamily member 13B
COL1A1	574201	COL1A1	collagen type I alpha 1 chain
PPP1R1A	574202	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
PPP1R1B	574203	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B
SNAP25	574204	SNAP25	synaptosome associated protein 25
STX1A	574205	STX1A	syntaxin 1A
NPY1R	574206	NPY1R	neuropeptide Y receptor Y1
TYROBP	574207	TYROBP	transmembrane immune signaling adaptor TYROBP
SOX9	574208	SOX9	SRY-box transcription factor 9
VEGFA	574209	VEGFA	vascular endothelial growth factor A
UGT1A1	574210	UGT1A1	UDP glucuronosyltransferase 1 family, polypeptide A1
CD209	574211	CD209	CD209 molecule
ADIPOQ	574212	ADIPOQ	adiponectin, C1Q and collagen domain containing
LAMP3	574213	LAMP3	lysosomal associated membrane protein 3
FYN	574214	FYN	FYN proto-oncogene, Src family tyrosine kinase
NXPH1	574215	NXPH1	neurexophilin 1
NLGN3	574216	NLGN3	neuroligin 3
CCL4L1	574217	CCL4L1	chemokine (C-C motif) ligand 4-like 1
CCL11	574218	CCL11	C-C motif chemokine ligand 11
CCL25	574219	CCL25	C-C motif chemokine ligand 25
CCL27	574220	CCL27	C-C motif chemokine ligand 27
CCL28	574221	CCL28	C-C motif chemokine ligand 28
CXCL1	574222	CXCL1	C-X-C motif chemokine ligand 1
CXCL3	574223	CXCL3	chemokine (C-X-C motif) ligand 3
