alias	gene_id	gene_symbol	gene_desc
Asip	24152	Asip	agouti signaling protein
A2m	24153	A2m	alpha-2-macroglobulin
Acaa1a	24157	Acaa1a	acetyl-CoA acyltransferase 1A
Acadm	24158	Acadm	acyl-CoA dehydrogenase medium chain
Acly	24159	Acly	ATP citrate lyase
Acp1	24161	Acp1	acid phosphatase 1
Acp2	24162	Acp2	acid phosphatase 2, lysosomal
Acr	24163	Acr	acrosin
Ada	24165	Ada	adenosine deaminase
Adcyap1	24166	Adcyap1	adenylate cyclase activating polypeptide 1
Adcyap1r1	24167	Adcyap1r1	ADCYAP receptor type I
Add1	24170	Add1	adducin 1
Add2	24171	Add2	adducin 2
Adh1	24172	Adh1	alcohol dehydrogenase 1 (class I)
Adra1b	24173	Adra1b	adrenoceptor alpha 1B
Adra2b	24174	Adra2b	adrenoceptor alpha 2B
Adra2c	24175	Adra2c	adrenoceptor alpha 2C
Adrb2	24176	Adrb2	adrenoceptor beta 2
Afp	24177	Afp	alpha-fetoprotein
Agt	24179	Agt	angiotensinogen
Agtr1a	24180	Agtr1a	angiotensin II receptor, type 1a
Agtr2	24182	Agtr2	angiotensin II receptor, type 2
Ak1	24183	Ak1	adenylate kinase 1
Ak2	24184	Ak2	adenylate kinase 2
Akt1	24185	Akt1	AKT serine/threonine kinase 1
Alb	24186	Alb	albumin
Aldh1a1	24188	Aldh1a1	aldehyde dehydrogenase 1 family, member A1
Aldoa	24189	Aldoa	aldolase, fructose-bisphosphate A
Aldob	24190	Aldob	aldolase, fructose-bisphosphate B
Aldoc	24191	Aldoc	aldolase, fructose-bisphosphate C
Akr1b1	24192	Akr1b1	aldo-keto reductase family 1 member B
Alpi	24197	Alpi	alkaline phosphatase, intestinal
Amy1a	24203	Amy1a	amylase, alpha 1A
Apc	24205	Apc	APC regulator of WNT signaling pathway
Apeh	24206	Apeh	acylaminoacyl-peptide hydrolase
Apoc3	24207	Apoc3	apolipoprotein C3
Ar	24208	Ar	androgen receptor
Ascl2	24209	Ascl2	achaete-scute family bHLH transcription factor 2
Asgr1	24210	Asgr1	asialoglycoprotein receptor 1
Atp1a1	24211	Atp1a1	ATPase Na+/K+ transporting subunit alpha 1
Atp1a2	24212	Atp1a2	ATPase Na+/K+ transporting subunit alpha 2
Atp1a3	24213	Atp1a3	ATPase Na+/K+ transporting subunit alpha 3
Atp1b2	24214	Atp1b2	ATPase Na+/K+ transporting subunit beta 2
Atp2b2	24215	Atp2b2	ATPase plasma membrane Ca2+ transporting 2
Atp4a	24216	Atp4a	ATPase H+/K+ transporting subunit alpha
Atp4b	24217	Atp4b	ATPase H+/K+ transporting subunit beta
Atp7b	24218	Atp7b	ATPase copper transporting beta
Avp	24221	Avp	arginine vasopressin
B2m	24223	B2m	beta-2 microglobulin
Bcl2	24224	Bcl2	BCL2, apoptosis regulator
Bdnf	24225	Bdnf	brain-derived neurotrophic factor
Tspo	24230	Tspo	translocator protein
C2	24231	C2	complement C2
C3	24232	C3	complement C3
C4a	24233	C4a	complement C4A
C4bpa	24235	C4bpa	complement component 4 binding protein, alpha
C4bpb	24236	C4bpb	complement component 4 binding protein, beta
C6	24237	C6	complement C6
Cacna1c	24239	Cacna1c	calcium voltage-gated channel subunit alpha1 C
Cad	24240	Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
Calca	24241	Calca	calcitonin-related polypeptide alpha
Calm1	24242	Calm1	calmodulin 1
Calm3	24244	Calm3	calmodulin 3
Camk2b	24245	Camk2b	calcium/calmodulin-dependent protein kinase II beta
Camk2d	24246	Camk2d	calcium/calmodulin-dependent protein kinase II delta
Casr	24247	Casr	calcium-sensing receptor
Cat	24248	Cat	catalase
S100g	24249	S100g	S100 calcium binding protein G
Cbs	24250	Cbs	cystathionine beta synthase
Cd53	24251	Cd53	Cd53 molecule
Cebpa	24252	Cebpa	CCAAT/enhancer binding protein alpha
Cebpb	24253	Cebpb	CCAAT/enhancer binding protein beta
Cel	24254	Cel	carboxyl ester lipase
Cftr	24255	Cftr	CF transmembrane conductance regulator
Psg19	24256	Psg19	pregnancy specific glycoprotein 19
Cgm4	24257	Cgm4	carcinoembryonic antigen gene family 4
Chga	24258	Chga	chromogranin A
Chgb	24259	Chgb	chromogranin B
Chrm3	24260	Chrm3	cholinergic receptor, muscarinic 3
Chrnb1	24261	Chrnb1	cholinergic receptor nicotinic beta 1 subunit
Ciaa2	24263	Ciaa2	CIA Autoantibody QTL 2
Ckb	24264	Ckb	creatine kinase B
Ckm	24265	Ckm	creatine kinase, M-type
Comt	24267	Comt	catechol-O-methyltransferase
Cp	24268	Cp	ceruloplasmin
Cpa1	24269	Cpa1	carboxypeptidase A1
Cpb1	24271	Cpb1	carboxypeptidase B1
Cryaa	24273	Cryaa	crystallin, alpha A
Cryg@	24274	Cryg@	Crystallin, gamma gene cluster
Crygc	24277	Crygc	crystallin, gamma C
Crygd	24278	Crygd	crystallin, gamma D
Cryge	24279	Cryge	crystallin, gamma E
Prl3d4	24282	Prl3d4	prolactin family 3, subfamily d, member 4
Prl3b1	24283	Prl3b1	Prolactin family 3, subfamily b, member 1
Csn1s1	24284	Csn1s1	casein alpha s1
Ctrb1	24291	Ctrb1	chymotrypsinogen B1
Cyp11b2	24294	Cyp11b2	cytochrome P450, family 11, subfamily b, polypeptide 2
Cyp1a1	24296	Cyp1a1	cytochrome P450, family 1, subfamily a, polypeptide 1
Cyp1a2	24297	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2
Cyp21a1	24298	Cyp21a1	cytochrome P450, family 21, subfamily a, polypeptide 1
Cyp2a3	24299	Cyp2a3	cytochrome P450, family 2, subfamily a, polypeptide 3
Cyp2b1	24300	Cyp2b1	cytochrome P450, family 2, subfamily b, polypeptide 1
Cyp2d3	24303	Cyp2d3	cytochrome P450, family 2, subfamily d, polypeptide 3
Cyp4a2	24306	Cyp4a2	cytochrome P450, family 4, subfamily a, polypeptide 2
Cyp4b1	24307	Cyp4b1	cytochrome P450, family 4, subfamily b, polypeptide 1
Dbp	24309	Dbp	D-box binding PAR bZIP transcription factor
Ace	24310	Ace	angiotensin I converting enzyme
Ddc	24311	Ddc	dopa decarboxylase
Dhfr	24312	Dhfr	dihydrofolate reductase
Nqo1	24314	Nqo1	NAD(P)H quinone dehydrogenase 1
Prl8a2	24315	Prl8a2	prolactin family 8, subfamily a, member 2
Drd1	24316	Drd1	dopamine receptor D1
Drd2	24318	Drd2	dopamine receptor D2
Edn1	24323	Edn1	endothelin 1
Edn2	24324	Edn2	endothelin 2
Ednra	24326	Ednra	endothelin receptor type A
Egfr	24329	Egfr	epidermal growth factor receptor
Egr1	24330	Egr1	early growth response 1
Cela1	24331	Cela1	chymotrypsin like elastase 1
Cela2a	24332	Cela2a	chymotrypsin like elastase 2A
Eno1	24333	Eno1	enolase 1
Eno2	24334	Eno2	enolase 2
Epo	24335	Epo	erythropoietin
Epor	24336	Epor	erythropoietin receptor
Erbb2	24337	Erbb2	erb-b2 receptor tyrosine kinase 2
Ephb1	24338	Ephb1	Eph receptor B1
Ces1c	24346	Ces1c	carboxylesterase 1C
Ets1	24356	Ets1	ETS proto-oncogene 1, transcription factor
Fabp1	24360	Fabp1	fatty acid binding protein 1
Fancc	24361	Fancc	FA complementation group C
Fbp1	24362	Fbp1	fructose-bisphosphatase 1
Fgb	24366	Fgb	fibrinogen beta chain
Fgg	24367	Fgg	fibrinogen gamma chain
Fh	24368	Fh	fumarate hydratase
Foxg1	24370	Foxg1	forkhead box G1
Fst	24373	Fst	follistatin
Fuca1	24375	Fuca1	alpha-L-fucosidase 1
G6pd	24377	G6pd	glucose-6-phosphate dehydrogenase
Gad1	24379	Gad1	glutamate decarboxylase 1
Gad2	24380	Gad2	glutamate decarboxylase 2
Ganc	24382	Ganc	glucosidase, alpha; neutral C
Gapdh	24383	Gapdh	glyceraldehyde-3-phosphate dehydrogenase
Gc	24384	Gc	GC, vitamin D binding protein
Gck	24385	Gck	glucokinase
Gfap	24387	Gfap	glial fibrillary acidic protein
Gfi1	24388	Gfi1	growth factor independent 1 transcriptional repressor
B4galt1	24390	B4galt1	beta-1,4-galactosyltransferase 1
Gh1	24391	Gh1	growth hormone 1
Gja1	24392	Gja1	gap junction protein, alpha 1
Glra2	24397	Glra2	glycine receptor, alpha 2
Gls	24398	Gls	glutaminase
Glud1	24399	Glud1	glutamate dehydrogenase 1
Gnb1	24400	Gnb1	G protein subunit beta 1
Got1	24401	Got1	glutamic-oxaloacetic transaminase 1
Gpx1	24404	Gpx1	glutathione peroxidase 1
Grik4	24406	Grik4	glutamate ionotropic receptor kainate type subunit 4
Grik5	24407	Grik5	glutamate ionotropic receptor kainate type subunit 5
Grin1	24408	Grin1	glutamate ionotropic receptor NMDA type subunit 1
Grin2a	24409	Grin2a	glutamate ionotropic receptor NMDA type subunit 2A
Grin2b	24410	Grin2b	glutamate ionotropic receptor NMDA type subunit 2B
Grin2c	24411	Grin2c	glutamate ionotropic receptor NMDA type subunit 2C
Grin2d	24412	Grin2d	glutamate ionotropic receptor NMDA type subunit 2D
